Log_Mass,Log_Rad,err_Log_Rad
10.05,0.66,0.20
8.85,0.45,0.20
9.35,0.33,0.20
9.22,0.58,0.20
10.02,0.67,0.20
9.57,0.50,0.20
9.29,0.30,-0.30
10.14,0.72,0.20
8.74,0.51,0.20
9.41,0.45,0.20
10.11,0.89,0.20
9.11,0.38,0.20
9.64,0.59,0.20
10.01,1.05,0.20
10.04,1.07,0.20
10.28,1.28,0.20
9.49,0.56,0.20
9.31,0.47,0.20
9.12,0.51,0.20
9.46,0.80,0.20
9.72,0.94,0.20
9.02,0.72,0.20
9.85,0.54,0.20
9.10,0.31,0.20
9.02,0.57,0.20
9.83,0.51,0.20
10.06,0.78,0.20
9.04,0.31,0.20
9.54,0.77,0.20
9.79,0.37,0.20
9.84,0.63,0.20
10.22,0.76,0.20
9.02,0.39,0.20
8.94,0.48,0.20
10.37,0.98,0.20
9.23,0.47,0.20
10.03,0.85,0.20
9.77,0.51,0.20
9.01,0.45,0.20
9.73,0.59,0.20
10.09,0.79,0.20
9.85,0.72,0.20
10.07,0.63,0.20
9.70,0.60,0.20
9.70,1.02,0.20
8.85,0.43,0.20
9.09,0.30,-0.30
9.12,0.38,0.20
9.85,0.53,0.20
8.95,0.53,0.20
9.89,0.81,0.20
9.86,0.71,0.20
9.35,0.56,0.20
9.01,0.47,0.20
9.33,0.50,0.20
9.40,0.66,0.20
9.66,0.79,0.20
10.44,0.94,0.20
9.24,0.65,0.20
9.39,0.69,0.20
9.45,0.61,0.20
9.13,0.46,0.20
8.92,0.48,0.20
9.64,0.81,0.20
9.85,0.75,0.20
8.98,0.52,0.20
9.60,0.34,0.20
10.34,0.87,0.20
9.71,0.80,0.20
9.90,0.74,0.20
8.93,0.30,-0.30
9.40,0.52,0.20
9.95,0.71,0.20
9.70,0.38,0.20
9.03,0.37,0.20
9.17,0.65,0.20
9.94,0.62,0.20
9.99,0.71,0.20
9.43,0.60,0.20
9.91,0.75,0.20
8.86,0.45,0.20
8.87,0.54,0.20
9.39,0.92,0.20
9.95,0.69,0.20
9.05,0.61,0.20
10.35,1.03,0.20
10.05,0.57,0.20
9.44,0.59,0.20
8.77,0.41,0.20
9.55,0.74,0.20
9.40,0.58,0.20
9.02,0.56,0.20
9.37,0.69,0.20
9.14,0.53,0.20
9.20,0.64,0.20
9.67,0.70,0.20
9.73,0.46,0.20
9.95,0.77,0.20
8.92,0.48,0.20
8.94,0.34,0.20
9.97,0.71,0.20
9.18,0.41,0.20
10.02,0.78,0.20
10.06,0.69,0.20
9.99,0.50,0.20
9.08,0.66,0.20
9.31,0.62,0.20
9.70,0.52,0.20
8.95,0.51,0.20
10.05,0.77,0.20
9.58,0.43,0.20
9.43,0.30,-0.30
10.34,1.07,0.20
10.04,0.69,0.20
9.28,0.42,0.20
9.44,0.67,0.20
9.06,0.30,-0.30
9.65,0.60,0.20
9.57,0.40,0.20
10.15,0.61,0.20
9.15,0.47,0.20
8.85,0.30,-0.30
8.86,0.33,0.20
9.64,0.43,0.20
9.66,0.78,0.20
9.50,0.36,0.20
