MV,LogP,[Fe/H]
-3.6734789500588607,0.8596785766284483,0.08
-4.058419646231286,0.9230885154423993,0.12
-4.047062741601593,0.8323172699222616,0.12
-2.76738058712402,0.7909181952145783,0.14
-3.8832206283827877,0.8491736330988267,0.18
-3.784522205266688,0.5289167002776547,0.17
-3.653538551666328,0.8258802989361795,0.06
-3.6261469462866684,0.6975780336511131,0.06
-4.035785950968953,1.177132317041775,0.0
-2.8436904751803027,0.7213983755215053,0.15
-4.6211420541349,1.3039084935359546,0.14
-4.3848697569146875,1.0369879978069059,0.01
-2.990521793392781,0.47885496752866297,-0.03
-3.882279850030786,0.8952567531448946,0.06
-3.3035274277651965,0.4949889736831681,0.0
-3.60798914102386,0.6869935662646786,0.11
-4.071579995622134,0.8983960459300089,0.04
-3.4110108061481696,0.669967369908504,-0.02
-4.087808366958352,0.951191757934706,0.11
-3.952830972342349,0.7359978840917938,0.04
-5.104973502163101,1.4145221155206513,0.03
-3.860438305341335,0.800717078282385,0.12
-4.182419169151449,1.0395330876693898,0.21
-3.353932000986884,0.8078055322706246,0.15
-4.170050116493493,1.0946457896059547,0.1
-3.449712008131836,0.6534054906645012,0.08
-2.8530316644489293,0.5865873046717549,-0.15
-3.3256407196889186,0.6358856852812728,0.01
-5.004174106116045,1.2336305801644631,0.11
-4.071313412849931,0.9801852369473351,0.11
-3.86741398449319,1.1106233752333305,0.34
-3.043324326704928,0.458788881710845,-0.14
-3.460213248393979,0.5295586730211631,0.12
-2.7785382528382963,0.4095950193968157,-0.12
-2.2615742692443366,-0.03526907894637064,-0.15
-3.62872495466831,0.8635607645262425,0.0
-2.4275590942054706,0.25139485004010426,0.0
-2.930598443452061,0.6017341482601049,0.0
-3.1433255984332056,0.5178554189300286,0.0
-3.515296220754025,0.6693168805661122,0.06
-3.5840254517907417,0.7990647193510082,0.0
-2.9144442761049767,0.792881745385397,0.0
-3.6467868435888584,0.777716738609626,0.0
-2.5663465927317506,0.48015072527328045,0.0
-2.8195406983477844,0.6312407802355091,0.0
-3.36058453883671,0.4581844355702627,0.0
-2.5685992135308173,0.5599066250361125,0.0
-3.7251412932118306,0.7974752875373343,0.0
-3.1177833770595647,0.7323937598229685,0.0
-3.4512362694121355,0.5079907248196914,0.0
-3.4567198822578167,0.892150277901364,0.0
-3.6256291534506424,0.6399842480415886,0.0
-2.4328934574135292,0.5810389487721672,0.0
-3.453052151564267,0.6987962517904313,0.0
-2.8933042694762188,0.7949757440511316,0.0
-3.609542922020394,0.8732624594387267,0.0
-2.549674633567976,0.7903555464143864,0.0
-3.2071415229283318,0.741387992479269,0.0
-2.4524898760508123,0.7058637122839193,0.0
-2.595325465714545,0.6020599913279624,0.0
-2.788624580434126,0.5932860670204573,0.0
-2.560518239073172,0.7811088357294664,0.0
-2.6742344363407673,0.5587085705331657,0.0
-0.7584013382167378,0.6757783416740851,0.0
-3.3840437940554997,0.8593184650971161,0.0
-3.573260429132674,0.9778150260831867,0.0
-3.128490707059439,0.5761108941208397,0.0
-4.386933307804927,1.0666985504229953,0.0
-3.8253595722277325,0.8930956660962283,0.0
-5.047224847561954,1.3020493903762504,0.0
-3.06729977958251,1.5217524634067643,0.0
-4.076413995174473,1.0496443525693,0.0
-3.706413687212946,0.8603979051273128,0.0
-3.1613072251615257,0.7074850119674736,0.0
-2.7618028563937638,0.6073477767684134,0.0
-3.339111335920228,0.7866804531966487,0.0
-2.2145084508426955,0.6946051989335688,0.07
-3.610283938025392,0.6940784620807594,0.0
-1.9275225198467882,0.4207806195485654,0.0
-3.2120823518248844,0.4635944021870002,0.0
-2.886389461871122,0.43216726944258826,0.06
-0.24121541298024535,1.048985302570711,0.0
-3.455685890192496,0.7295697263019699,0.0
-3.542615257921694,0.742882171437273,0.0
-2.9435685838324313,0.5622928644564748,0.0
-3.911530894970931,0.8069257768837318,0.16
-3.1931932948520636,0.9996524253660791,0.31
-4.651295863492605,1.1337943006045126,0.0
-3.4747495210248642,1.0152339762467084,0.0
-4.511912090029641,1.2329453127452272,0.0
-2.8742435090491547,0.75815462196739,0.0
-3.687941745225749,0.9148718175400504,0.0
-3.5317978722363548,0.7922515719032642,0.0
-4.161426910737377,0.8572721735640414,0.0
-3.6783049864367543,0.720242018287057,-0.32
-3.205435717994682,0.6230424342463817,0.09
-2.9534479719404603,0.7243578042264265,0.14
-3.5905895134616133,0.8175653695597808,0.23
-3.6622077954004135,0.7595167594621881,0.14
0.2540656268550965,0.1667260555800517,0.3
-3.458655508320992,0.9895832893110051,0.1
-4.856947933787085,1.14091637693907,0.11
