MV,LogP,[Fe/H]
-3.471980916676158,0.5839917991983163,-0.08
-3.1549260837520565,0.7646243978509815,-0.09
-3.3274868716679133,0.7039788250083859,0.15
-5.405625477866632,1.4792729117768568,-0.03
-3.7037192256905858,0.696618459232225,0.15
-3.6580031175225844,0.48643047885443386,0.15
-3.7604633945088524,1.187943529062527,0.4
-3.8637971253572676,0.8105013477665298,0.07
-3.990391543120823,0.6018427897820982,0.18
-3.405424731026357,0.8219718176420427,0.14
-4.350646021243207,0.5624118329497274,-0.02
-3.0733856357833345,0.609380944250707,0.08
-3.508842790512755,0.7268901407418216,0.04
-3.9980061906529487,0.9031985470429784,0.11
-3.3454414292644272,0.6305295714268241,0.01
-4.582646657742665,1.2323352770856544,0.17
-3.0633748959998632,0.6879746200345557,0.04
-4.522809594012783,1.178746796528958,-0.03
-2.6927471627715898,0.6931111154621412,0.11
-4.02108376485821,1.2518571372714158,0.04
-3.2839207387838205,0.7946971268919986,0.0
-3.3385956390607636,0.7307015442818453,0.0
-3.505072185290296,0.6300208511134099,0.15
-4.1328795013880875,1.1576682727387693,0.11
-4.596750945931709,0.9917575395343481,0.15
-3.2315998771789065,0.5835388192543521,0.18
-3.2977333786812686,0.3948017771627111,0.04
-4.265081995119001,0.9031442704095385,0.04
-2.8580251125071667,0.3226327116922234,0.0
-3.2148232734677773,0.49009900506330495,0.04
-1.5776465395597576,0.424881636631067,0.0
-3.359115905054245,0.809761665107125,0.0
-3.797935855208928,0.78632543439007,0.14
-3.934545852751361,0.7641013764762288,-0.03
-3.8528170454907693,0.9768999509829378,0.04
-2.775047453426461,0.832445041174111,0.0
-3.7952598078108553,1.0300732307125178,0.07
-3.960074206451556,0.7578513436855798,0.04
-3.6883208002837273,0.9674075565974728,0.14
-2.974314937384568,0.5381965783494542,0.2
-3.922928531581017,0.8571515026874931,0.07
-4.197765280423594,1.457957551203638,0.21
-3.2584630109914534,0.7748817658187963,0.14
-4.129070567938987,0.7554937284151192,-0.06
-4.257591461280596,1.249247289223952,0.21
-3.525774994901373,0.578180609627778,0.0
-4.092071324339521,0.8756399370041684,0.15
-4.232089780971359,0.8072643552761071,0.06
-3.893002021427347,0.8789237339675672,0.0
-5.4520239150125205,1.6174511858367815,0.23
-2.7584864672665677,0.4893959217271294,0.07
